sale_id,sale_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct
1,2025-04-02,1316,5293,3084,6,8068.86,0
2,2025-05-16,3056,7375,3060,2,19042.75,5
3,2025-10-12,4902,9438,1135,1,4421.47,0
4,2025-09-14,518,4357,1577,6,484.05,15
5,2025-07-23,593,7359,5751,4,7335.84,10
6,2025-10-14,9072,9085,1862,5,13034.69,0
7,2025-08-22,6654,3346,1693,4,18087.6,0
8,2025-01-19,9586,2681,6936,9,14371.36,20
9,2025-12-05,2239,7112,998,6,13808.33,0
10,2025-07-20,6698,6332,7857,5,16436.95,0
11,2025-07-17,5827,7595,6266,5,6329.64,10
12,2025-04-02,4285,783,5784,6,1704.7,10
13,2025-02-04,9398,5009,9509,2,15664.25,0
14,2025-10-22,256,5836,9505,3,13090.89,5
15,2025-10-29,1963,8432,136,3,16065.68,5
16,2025-03-20,5488,5642,1755,9,23218.07,15
17,2025-05-14,2509,8663,5282,4,20871.24,15
18,2025-12-21,4033,2310,3042,6,16596.04,0
19,2025-12-16,9248,6708,1931,9,10727.86,0
20,2025-10-07,8669,9221,579,2,16165.3,20
21,2025-07-03,3362,8685,9908,3,9084.64,20
22,2025-01-27,7096,3191,8012,6,21458.71,0
23,2025-04-28,870,8869,3720,1,19061.25,0
24,2025-10-20,1714,4744,7058,9,5513.65,0
25,2025-11-28,6584,7601,9708,8,13056.85,20
26,2025-03-19,2016,9531,285,2,11634.48,20
27,2025-06-23,9481,8022,7508,1,3576.91,0
28,2025-01-23,4805,5800,5023,10,13903.2,5
29,2025-07-03,7152,402,9685,5,11394.42,20
30,2025-03-06,7449,4051,7111,5,13640.32,10
31,2025-09-04,5001,9049,4026,4,16737.44,15
32,2025-03-06,8116,6106,6957,6,13711.95,5
33,2025-11-13,2679,9822,9228,6,24001.64,5
34,2025-07-18,2689,6701,7797,3,1835.88,0
35,2025-04-27,8013,4334,703,3,6869.79,0
36,2025-04-13,661,1292,5349,10,15471.37,10
37,2025-08-03,1790,5262,4351,7,8049.38,15
38,2025-02-07,346,5050,7346,4,9115.36,0
39,2025-07-28,9459,3780,8307,9,18600.65,0
40,2025-08-21,7069,8968,548,7,15813.5,0
41,2025-07-06,7714,9553,122,2,16533.44,0
42,2025-03-28,3896,3049,7009,5,22711.06,20
43,2025-05-09,3523,4102,7578,8,20160.8,15
44,2025-05-13,3570,742,1233,9,4881.92,0
45,2025-10-02,1230,3159,3088,5,13803.12,0
46,2025-07-01,7168,1955,9201,8,4657.17,20
47,2025-03-20,1781,2038,4702,7,6520.96,0
48,2025-08-30,7295,2795,3359,7,13591.89,0
49,2025-05-16,3752,8826,5633,8,1219.54,5
50,2025-06-14,5303,4597,5718,2,21395.29,20
51,2025-08-07,1053,7407,1601,5,16934.58,0
52,2025-07-27,9707,8746,2886,9,20639.65,0
53,2025-08-01,309,3792,227,7,22783.45,5
54,2025-10-12,3664,9903,8992,9,1328.48,0
55,2025-04-15,8963,2042,5996,1,10590.37,0
56,2025-09-05,6120,1705,7104,9,3790.43,5
57,2025-01-11,4336,8676,1123,9,23508.13,0
58,2025-09-23,2128,619,4609,10,18118.25,20
59,2025-05-31,8633,3025,2794,7,16728.1,10
60,2025-08-15,4298,7657,6186,2,22436.51,0
61,2025-01-23,7110,7496,3304,9,5615.2,0
62,2025-02-15,1535,9241,8459,5,10161.92,0
63,2025-02-18,2486,7397,9658,4,4268.02,0
64,2025-04-19,5561,114,111,9,6977.86,0
65,2025-12-04,8596,54,3766,4,7237.18,20
66,2025-05-27,1326,1835,6584,10,22082.95,15
67,2025-06-01,9514,6758,3030,8,9370.83,0
68,2025-09-07,6671,9190,9093,4,11358.22,15
69,2025-02-24,7784,3832,2155,4,22524.13,15
70,2025-12-29,9149,7986,1692,3,9660.23,20
71,2025-10-18,3401,5961,9497,2,17787.16,0
72,2025-04-10,4081,8256,560,6,9687.62,10
73,2025-04-05,7974,3279,1040,2,8831.72,5
74,2025-08-02,8252,3908,5094,1,5357.04,0
75,2025-02-12,6614,8538,219,8,15557.86,5
76,2025-03-26,9796,8080,236,9,6590.58,0
77,2025-09-04,4111,6778,8696,3,24489.33,15
78,2025-09-23,497,63,4067,2,4716.85,0
79,2025-11-02,8799,6840,1222,2,2794.25,5
80,2025-04-04,3987,8368,7279,9,12247.59,15
81,2025-11-14,8849,9859,5390,4,4937.08,15
82,2025-11-26,949,3659,9113,10,4314.36,20
83,2025-03-26,8469,7341,1580,3,1652.57,15
84,2025-05-26,4095,9375,9725,7,12043.27,0
85,2025-06-17,8464,6910,2436,4,23755.65,10
86,2025-05-10,2743,701,4924,3,9320.6,5
87,2025-09-24,1401,1625,5582,7,4874.97,20
88,2025-08-15,6371,3788,8165,3,16986.69,0
89,2025-10-15,9438,1058,4579,1,18682.3,15
90,2025-07-22,4538,613,1270,8,23384.87,0
91,2025-03-24,4831,15,7169,9,9531.42,0
92,2025-02-28,3303,609,6879,3,6889.84,10
93,2025-03-12,5040,8987,8255,5,11541.45,5
94,2025-06-23,7352,3045,8922,7,10801.16,0
95,2025-12-03,1151,6976,7859,9,5215.05,15
96,2025-04-29,6673,7408,416,3,2194.54,5
97,2026-01-01,5437,3085,1086,7,13747.12,10
98,2026-01-02,9323,6679,9538,4,22794.79,10
99,2025-01-31,7775,5894,4781,7,13542.63,20
100,2025-02-13,4113,9727,3594,7,7883.38,10
101,2025-08-06,4041,3993,7793,7,14650.77,15
102,2025-07-15,8310,1403,4463,7,19308.09,20
103,2025-07-06,7421,5615,7892,4,24040.11,5
104,2026-01-06,9222,8595,2263,8,7589.76,0
105,2025-12-24,8276,4532,3830,10,4592.43,0
106,2025-08-05,8406,8778,3144,2,3201.88,15
107,2025-08-19,9267,5113,2723,5,14703.44,10
108,2025-04-13,4622,6183,2139,10,3435.3,0
109,2025-05-23,2989,5315,5758,5,9282.04,0
110,2025-07-24,1975,1020,7855,8,18819.93,0
111,2025-09-27,9630,5454,9100,3,16988.46,20
112,2025-10-12,1777,6521,56,2,18148.36,20
113,2025-05-05,2652,6735,9652,8,21665.88,0
114,2025-06-04,8322,3651,508,1,146.03,20
115,2025-06-10,1476,8043,2569,4,8928.2,0
116,2025-08-17,8397,8994,6150,10,19144.0,0
117,2025-06-18,8586,1969,6770,6,2384.55,0
118,2025-02-27,51,9726,8127,10,6113.49,5
119,2025-09-20,1312,3386,3849,4,6564.23,15
120,2025-03-12,2728,4981,7717,10,11062.44,0
121,2025-07-12,5882,4767,702,10,119.59,0
122,2025-02-08,5972,6120,5979,7,6936.03,5
123,2025-06-18,6194,4937,3477,8,7482.07,10
124,2025-11-26,177,9098,8117,3,6985.59,0
125,2025-12-14,972,5585,5528,1,15106.58,5
126,2025-06-16,4651,3444,1898,8,10966.61,10
127,2025-02-01,470,6632,7072,10,20306.79,0
128,2025-07-19,1096,6686,5618,2,14266.45,20
129,2025-04-15,6650,7218,342,2,6777.55,5
130,2025-12-26,6137,4806,6171,3,714.97,0
131,2025-11-09,8361,9665,1387,8,23159.99,0
132,2025-06-05,6342,3771,7399,4,5574.92,20
133,2025-06-23,5931,5447,4307,8,15035.46,20
134,2025-07-26,3122,6300,4397,1,8644.59,10
135,2025-04-08,3185,351,3858,7,23365.91,0
136,2025-10-01,5084,2579,9962,9,11504.88,20
137,2026-01-01,6558,7131,6180,10,19359.84,10
138,2025-01-31,7640,1890,5247,9,13756.88,10
139,2025-09-27,1770,594,4738,9,22208.55,0
140,2025-11-29,3655,3162,5011,1,19708.41,5
141,2025-10-02,1726,4262,2263,8,9856.3,0
142,2025-07-24,7376,9237,927,2,12994.69,0
143,2025-03-31,361,9951,9842,3,11472.24,0
144,2025-12-03,1150,4822,2676,5,9323.8,0
145,2025-02-18,5301,4501,5413,4,2508.13,20
146,2025-08-19,671,9775,7790,10,22250.31,0
147,2025-04-10,9127,6572,7949,6,13387.7,5
148,2025-03-14,3437,941,6867,4,24130.33,5
149,2025-07-03,7243,8633,1208,8,3348.81,0
150,2025-12-03,862,1789,4667,6,17443.29,20
151,2025-02-25,7462,6537,7918,4,13019.56,5
152,2025-07-19,9503,9933,3306,8,8763.09,0
153,2025-03-12,9855,4446,6276,3,7112.22,20
154,2025-09-08,9656,7667,6909,4,16092.96,0
155,2025-09-04,7399,5382,9546,6,20029.13,20
156,2025-03-07,9909,494,5010,3,12453.48,20
157,2025-06-26,8817,392,4552,5,2495.27,0
158,2025-06-07,8657,9173,2266,4,5550.09,15
159,2025-07-18,9363,7322,4569,10,2799.47,5
160,2025-03-08,7978,6368,4417,4,12167.3,5
161,2025-10-12,8294,6987,9902,9,3936.37,20
162,2025-10-31,134,9872,8510,7,4813.16,20
163,2025-09-08,9255,6945,1290,9,23407.42,0
164,2025-06-07,3922,8835,5302,2,10502.81,15
165,2025-11-01,868,4675,4612,1,19423.97,10
166,2025-06-04,3052,7643,7505,5,7023.79,0
167,2025-02-02,4918,2257,4468,8,13388.82,0
168,2025-06-30,6750,7872,1045,3,24580.61,10
169,2025-02-06,7538,5474,2673,10,13910.32,0
