store_id,store_name,city,state
1,Store-1,Chennai,TN
2,Store-2,Pune,MH
3,Store-3,Kolkata,DL
4,Store-4,Bangalore,WB
5,Store-5,Delhi,TN
6,Store-6,Chennai,TN
7,Store-7,Delhi,TG
8,Store-8,Delhi,TG
9,Store-9,Mumbai,DL
10,Store-10,Pune,TN
11,Store-11,Pune,TG
12,Store-12,Mumbai,TG
13,Store-13,Chennai,TN
14,Store-14,Delhi,WB
15,Store-15,Bangalore,KA
16,Store-16,Mumbai,DL
17,Store-17,Bangalore,MH
18,Store-18,Bangalore,KA
19,Store-19,Bangalore,DL
20,Store-20,Hyderabad,MH
21,Store-21,Kolkata,DL
22,Store-22,Delhi,KA
23,Store-23,Hyderabad,KA
24,Store-24,Bangalore,TG
25,Store-25,Kolkata,TG
26,Store-26,Hyderabad,TN
27,Store-27,Hyderabad,WB
28,Store-28,Hyderabad,TG
29,Store-29,Hyderabad,TN
30,Store-30,Hyderabad,TG
31,Store-31,Bangalore,DL
32,Store-32,Delhi,DL
33,Store-33,Delhi,TN
34,Store-34,Delhi,TG
35,Store-35,Kolkata,DL
36,Store-36,Mumbai,KA
37,Store-37,Delhi,MH
38,Store-38,Mumbai,TN
39,Store-39,Pune,WB
40,Store-40,Hyderabad,WB
41,Store-41,Pune,TG
42,Store-42,Mumbai,WB
43,Store-43,Delhi,TN
44,Store-44,Bangalore,KA
45,Store-45,Chennai,TG
46,Store-46,Delhi,WB
47,Store-47,Mumbai,WB
48,Store-48,Hyderabad,KA
49,Store-49,Delhi,TG
50,Store-50,Pune,TN
51,Store-51,Hyderabad,MH
52,Store-52,Mumbai,KA
53,Store-53,Kolkata,DL
54,Store-54,Kolkata,TN
55,Store-55,Delhi,DL
56,Store-56,Bangalore,TN
57,Store-57,Pune,TG
58,Store-58,Chennai,WB
59,Store-59,Delhi,TG
60,Store-60,Mumbai,MH
61,Store-61,Delhi,TG
62,Store-62,Hyderabad,TG
63,Store-63,Pune,WB
64,Store-64,Pune,WB
65,Store-65,Pune,MH
66,Store-66,Kolkata,TG
67,Store-67,Mumbai,WB
68,Store-68,Bangalore,DL
69,Store-69,Hyderabad,DL
70,Store-70,Hyderabad,MH
71,Store-71,Kolkata,DL
72,Store-72,Pune,MH
73,Store-73,Bangalore,MH
74,Store-74,Pune,WB
75,Store-75,Pune,TG
76,Store-76,Chennai,DL
77,Store-77,Pune,KA
78,Store-78,Mumbai,KA
79,Store-79,Kolkata,TG
80,Store-80,Chennai,KA
81,Store-81,Kolkata,WB
82,Store-82,Chennai,TG
83,Store-83,Mumbai,TN
84,Store-84,Bangalore,WB
85,Store-85,Chennai,KA
86,Store-86,Delhi,DL
87,Store-87,Bangalore,DL
88,Store-88,Bangalore,KA
89,Store-89,Kolkata,MH
90,Store-90,Kolkata,MH
91,Store-91,Pune,WB
92,Store-92,Mumbai,KA
93,Store-93,Hyderabad,WB
94,Store-94,Mumbai,TG
95,Store-95,Hyderabad,KA
96,Store-96,Hyderabad,TG
97,Store-97,Hyderabad,MH
98,Store-98,Bangalore,TG
99,Store-99,Mumbai,DL
100,Store-100,Chennai,DL
101,Store-101,Delhi,TN
102,Store-102,Kolkata,TN
103,Store-103,Delhi,TN
104,Store-104,Bangalore,TG
105,Store-105,Pune,DL
106,Store-106,Bangalore,DL
107,Store-107,Chennai,DL
108,Store-108,Mumbai,TN
109,Store-109,Mumbai,KA
110,Store-110,Chennai,TN
111,Store-111,Chennai,TN
112,Store-112,Pune,DL
113,Store-113,Pune,MH
114,Store-114,Pune,WB
115,Store-115,Hyderabad,WB
116,Store-116,Hyderabad,TG
117,Store-117,Bangalore,TN
118,Store-118,Mumbai,DL
119,Store-119,Kolkata,TN
120,Store-120,Delhi,TG
121,Store-121,Hyderabad,WB
122,Store-122,Hyderabad,TN
123,Store-123,Kolkata,DL
124,Store-124,Pune,TN
125,Store-125,Hyderabad,KA
126,Store-126,Chennai,TN
127,Store-127,Delhi,TG
128,Store-128,Mumbai,DL
129,Store-129,Pune,MH
130,Store-130,Pune,MH
131,Store-131,Chennai,KA
132,Store-132,Kolkata,WB
133,Store-133,Pune,TN
134,Store-134,Hyderabad,TN
135,Store-135,Kolkata,TG
136,Store-136,Mumbai,WB
137,Store-137,Kolkata,KA
138,Store-138,Pune,WB
139,Store-139,Pune,MH
140,Store-140,Pune,TG
141,Store-141,Bangalore,TN
142,Store-142,Bangalore,DL
143,Store-143,Pune,TG
144,Store-144,Kolkata,WB
145,Store-145,Bangalore,TN
146,Store-146,Bangalore,KA
147,Store-147,Bangalore,TN
148,Store-148,Chennai,WB
149,Store-149,Kolkata,DL
150,Store-150,Pune,TG
151,Store-151,Pune,TN
152,Store-152,Bangalore,WB
153,Store-153,Bangalore,MH
154,Store-154,Chennai,KA
155,Store-155,Pune,MH
156,Store-156,Hyderabad,TG
157,Store-157,Bangalore,TN
158,Store-158,Pune,DL
159,Store-159,Bangalore,MH
160,Store-160,Chennai,MH
161,Store-161,Bangalore,KA
162,Store-162,Chennai,TN
163,Store-163,Pune,KA
164,Store-164,Delhi,WB
165,Store-165,Chennai,DL
166,Store-166,Kolkata,WB
167,Store-167,Chennai,DL
168,Store-168,Bangalore,KA
169,Store-169,Delhi,TG
170,Store-170,Pune,KA
171,Store-171,Chennai,KA
172,Store-172,Kolkata,TG
173,Store-173,Bangalore,WB
174,Store-174,Chennai,MH
175,Store-175,Mumbai,DL
176,Store-176,Delhi,KA
177,Store-177,Delhi,TN
178,Store-178,Delhi,WB
179,Store-179,Hyderabad,TG
180,Store-180,Pune,MH
181,Store-181,Pune,TG
182,Store-182,Pune,WB
183,Store-183,Chennai,WB
184,Store-184,Kolkata,KA
185,Store-185,Pune,TN
186,Store-186,Delhi,TG
187,Store-187,Mumbai,DL
188,Store-188,Chennai,KA
189,Store-189,Kolkata,DL
190,Store-190,Mumbai,WB
191,Store-191,Pune,DL
192,Store-192,Delhi,DL
193,Store-193,Delhi,TG
194,Store-194,Hyderabad,TN
195,Store-195,Chennai,WB
196,Store-196,Chennai,KA
197,Store-197,Hyderabad,TG
198,Store-198,Bangalore,WB
199,Store-199,Mumbai,DL
200,Store-200,Mumbai,MH
201,Store-201,Bangalore,TG
202,Store-202,Hyderabad,TN
203,Store-203,Kolkata,MH
204,Store-204,Delhi,TN
205,Store-205,Bangalore,WB
206,Store-206,Kolkata,DL
207,Store-207,Bangalore,WB
208,Store-208,Bangalore,KA
209,Store-209,Hyderabad,TG
210,Store-210,Kolkata,DL
211,Store-211,Bangalore,TN
212,Store-212,Mumbai,DL
213,Store-213,Delhi,TN
214,Store-214,Chennai,DL
215,Store-215,Chennai,WB
216,Store-216,Bangalore,TG
217,Store-217,Chennai,KA
218,Store-218,Pune,KA
219,Store-219,Chennai,KA
220,Store-220,Hyderabad,MH
221,Store-221,Chennai,KA
222,Store-222,Delhi,TN
223,Store-223,Hyderabad,DL
224,Store-224,Delhi,TN
225,Store-225,Bangalore,WB
226,Store-226,Bangalore,MH
227,Store-227,Mumbai,WB
228,Store-228,Kolkata,TG
229,Store-229,Pune,KA
230,Store-230,Chennai,TN
231,Store-231,Delhi,DL
232,Store-232,Hyderabad,TN
233,Store-233,Chennai,DL
234,Store-234,Pune,TG
235,Store-235,Delhi,MH
236,Store-236,Bangalore,TG
237,Store-237,Mumbai,WB
238,Store-238,Hyderabad,TN
239,Store-239,Delhi,KA
240,Store-240,Mumbai,MH
241,Store-241,Pune,WB
242,Store-242,Mumbai,KA
243,Store-243,Kolkata,KA
244,Store-244,Hyderabad,TN
245,Store-245,Mumbai,WB
246,Store-246,Mumbai,KA
247,Store-247,Chennai,TN
248,Store-248,Bangalore,MH
249,Store-249,Kolkata,TG
250,Store-250,Pune,TN
251,Store-251,Pune,KA
252,Store-252,Delhi,TG
253,Store-253,Hyderabad,TN
254,Store-254,Mumbai,DL
255,Store-255,Hyderabad,MH
256,Store-256,Mumbai,TN
257,Store-257,Chennai,MH
258,Store-258,Mumbai,DL
259,Store-259,Kolkata,KA
260,Store-260,Pune,TG
261,Store-261,Delhi,KA
262,Store-262,Delhi,TG
263,Store-263,Bangalore,MH
264,Store-264,Pune,WB
265,Store-265,Chennai,TG
266,Store-266,Bangalore,KA
267,Store-267,Hyderabad,TG
268,Store-268,Mumbai,DL
269,Store-269,Bangalore,DL
270,Store-270,Hyderabad,TG
271,Store-271,Chennai,TN
272,Store-272,Delhi,TG
273,Store-273,Chennai,TN
274,Store-274,Chennai,DL
275,Store-275,Delhi,TG
276,Store-276,Delhi,TN
277,Store-277,Delhi,TN
278,Store-278,Hyderabad,DL
279,Store-279,Delhi,MH
280,Store-280,Delhi,DL
281,Store-281,Chennai,KA
282,Store-282,Chennai,WB
283,Store-283,Bangalore,KA
284,Store-284,Hyderabad,WB
285,Store-285,Chennai,MH
286,Store-286,Bangalore,MH
287,Store-287,Delhi,TN
288,Store-288,Delhi,DL
289,Store-289,Mumbai,TN
290,Store-290,Pune,TN
291,Store-291,Delhi,KA
292,Store-292,Chennai,DL
293,Store-293,Pune,WB
294,Store-294,Kolkata,WB
295,Store-295,Delhi,KA
296,Store-296,Kolkata,MH
297,Store-297,Bangalore,WB
298,Store-298,Kolkata,TN
299,Store-299,Chennai,TN
300,Store-300,Pune,MH
301,Store-301,Bangalore,WB
302,Store-302,Delhi,MH
303,Store-303,Kolkata,MH
304,Store-304,Hyderabad,WB
305,Store-305,Chennai,KA
306,Store-306,Mumbai,DL
307,Store-307,Kolkata,DL
308,Store-308,Bangalore,DL
309,Store-309,Chennai,DL
310,Store-310,Delhi,KA
311,Store-311,Mumbai,KA
312,Store-312,Mumbai,WB
313,Store-313,Pune,TG
314,Store-314,Chennai,TG
315,Store-315,Kolkata,TN
316,Store-316,Delhi,TG
317,Store-317,Pune,MH
318,Store-318,Hyderabad,WB
319,Store-319,Kolkata,TN
320,Store-320,Pune,DL
321,Store-321,Mumbai,KA
322,Store-322,Kolkata,WB
323,Store-323,Delhi,WB
324,Store-324,Kolkata,KA
325,Store-325,Pune,WB
326,Store-326,Mumbai,KA
327,Store-327,Chennai,DL
328,Store-328,Delhi,MH
329,Store-329,Chennai,WB
330,Store-330,Pune,TN
331,Store-331,Pune,TG
332,Store-332,Pune,DL
333,Store-333,Chennai,MH
334,Store-334,Hyderabad,DL
335,Store-335,Mumbai,KA
336,Store-336,Kolkata,WB
337,Store-337,Mumbai,TN
338,Store-338,Mumbai,DL
339,Store-339,Chennai,WB
340,Store-340,Pune,DL
341,Store-341,Bangalore,TN
342,Store-342,Delhi,TN
343,Store-343,Hyderabad,MH
344,Store-344,Chennai,MH
345,Store-345,Delhi,TG
346,Store-346,Hyderabad,DL
347,Store-347,Mumbai,KA
348,Store-348,Kolkata,WB
349,Store-349,Pune,KA
350,Store-350,Delhi,DL
351,Store-351,Bangalore,MH
352,Store-352,Mumbai,TN
353,Store-353,Hyderabad,MH
354,Store-354,Kolkata,MH
355,Store-355,Pune,DL
356,Store-356,Chennai,WB
357,Store-357,Pune,DL
358,Store-358,Kolkata,TN
359,Store-359,Chennai,DL
360,Store-360,Bangalore,MH
361,Store-361,Pune,KA
362,Store-362,Hyderabad,WB
363,Store-363,Hyderabad,TG
364,Store-364,Chennai,KA
365,Store-365,Bangalore,TG
366,Store-366,Hyderabad,TG
367,Store-367,Mumbai,KA
368,Store-368,Bangalore,KA
369,Store-369,Delhi,KA
370,Store-370,Mumbai,MH
371,Store-371,Pune,MH
372,Store-372,Kolkata,KA
373,Store-373,Hyderabad,MH
374,Store-374,Chennai,WB
375,Store-375,Pune,TN
376,Store-376,Mumbai,KA
377,Store-377,Mumbai,MH
378,Store-378,Delhi,TN
379,Store-379,Kolkata,DL
380,Store-380,Hyderabad,MH
381,Store-381,Pune,TN
382,Store-382,Hyderabad,TN
383,Store-383,Mumbai,TN
384,Store-384,Hyderabad,WB
385,Store-385,Hyderabad,WB
386,Store-386,Mumbai,TN
387,Store-387,Bangalore,WB
388,Store-388,Bangalore,DL
389,Store-389,Kolkata,DL
390,Store-390,Pune,KA
391,Store-391,Mumbai,TN
392,Store-392,Mumbai,WB
393,Store-393,Hyderabad,TN
394,Store-394,Mumbai,TN
395,Store-395,Pune,MH
396,Store-396,Chennai,KA
397,Store-397,Pune,DL
398,Store-398,Bangalore,TN
399,Store-399,Chennai,WB
400,Store-400,Pune,MH
401,Store-401,Bangalore,KA
402,Store-402,Pune,TG
403,Store-403,Kolkata,WB
404,Store-404,Bangalore,TG
405,Store-405,Mumbai,DL
406,Store-406,Chennai,WB
407,Store-407,Mumbai,TG
408,Store-408,Mumbai,MH
409,Store-409,Kolkata,WB
410,Store-410,Pune,WB
411,Store-411,Hyderabad,TN
412,Store-412,Mumbai,TN
413,Store-413,Mumbai,TN
414,Store-414,Kolkata,TG
415,Store-415,Delhi,MH
416,Store-416,Delhi,MH
417,Store-417,Mumbai,KA
418,Store-418,Chennai,KA
419,Store-419,Kolkata,KA
420,Store-420,Mumbai,KA
421,Store-421,Delhi,DL
422,Store-422,Hyderabad,DL
423,Store-423,Bangalore,MH
424,Store-424,Bangalore,MH
425,Store-425,Delhi,TN
426,Store-426,Bangalore,TG
427,Store-427,Delhi,MH
428,Store-428,Kolkata,WB
429,Store-429,Bangalore,TG
430,Store-430,Delhi,WB
431,Store-431,Pune,DL
432,Store-432,Chennai,WB
433,Store-433,Bangalore,KA
434,Store-434,Pune,MH
435,Store-435,Kolkata,TG
436,Store-436,Kolkata,WB
437,Store-437,Pune,MH
438,Store-438,Bangalore,MH
439,Store-439,Kolkata,KA
440,Store-440,Chennai,TG
441,Store-441,Chennai,TN
442,Store-442,Chennai,MH
443,Store-443,Mumbai,WB
444,Store-444,Kolkata,WB
445,Store-445,Chennai,MH
446,Store-446,Delhi,WB
447,Store-447,Kolkata,TG
448,Store-448,Kolkata,MH
449,Store-449,Pune,TN
450,Store-450,Hyderabad,TG
451,Store-451,Kolkata,KA
452,Store-452,Mumbai,TG
453,Store-453,Bangalore,TG
454,Store-454,Mumbai,MH
455,Store-455,Delhi,TN
456,Store-456,Hyderabad,DL
457,Store-457,Bangalore,TN
458,Store-458,Kolkata,TG
459,Store-459,Bangalore,WB
460,Store-460,Hyderabad,KA
461,Store-461,Kolkata,WB
462,Store-462,Pune,KA
463,Store-463,Pune,WB
464,Store-464,Bangalore,MH
465,Store-465,Mumbai,TG
466,Store-466,Mumbai,WB
467,Store-467,Chennai,DL
468,Store-468,Hyderabad,MH
469,Store-469,Kolkata,MH
470,Store-470,Hyderabad,TG
471,Store-471,Kolkata,MH
472,Store-472,Delhi,WB
473,Store-473,Mumbai,TN
474,Store-474,Bangalore,KA
475,Store-475,Pune,KA
476,Store-476,Pune,DL
477,Store-477,Pune,MH
478,Store-478,Kolkata,TG
479,Store-479,Delhi,TN
480,Store-480,Kolkata,TG
481,Store-481,Delhi,DL
482,Store-482,Chennai,TN
483,Store-483,Chennai,TN
484,Store-484,Hyderabad,KA
485,Store-485,Hyderabad,WB
486,Store-486,Pune,KA
487,Store-487,Bangalore,DL
488,Store-488,Hyderabad,WB
489,Store-489,Mumbai,TN
490,Store-490,Bangalore,KA
491,Store-491,Pune,TN
492,Store-492,Kolkata,DL
493,Store-493,Hyderabad,WB
494,Store-494,Pune,WB
495,Store-495,Delhi,TN
496,Store-496,Delhi,WB
497,Store-497,Delhi,DL
498,Store-498,Delhi,MH
499,Store-499,Pune,TN
500,Store-500,Kolkata,MH
501,Store-501,Hyderabad,TG
502,Store-502,Kolkata,MH
503,Store-503,Pune,DL
504,Store-504,Hyderabad,KA
505,Store-505,Kolkata,KA
506,Store-506,Bangalore,TG
507,Store-507,Hyderabad,TN
508,Store-508,Pune,TN
509,Store-509,Chennai,TG
510,Store-510,Pune,TG
511,Store-511,Hyderabad,WB
512,Store-512,Pune,KA
513,Store-513,Pune,TN
514,Store-514,Mumbai,MH
515,Store-515,Delhi,WB
516,Store-516,Pune,TG
517,Store-517,Delhi,TG
518,Store-518,Delhi,TN
519,Store-519,Delhi,TG
520,Store-520,Bangalore,DL
521,Store-521,Hyderabad,TG
522,Store-522,Chennai,TG
523,Store-523,Chennai,DL
524,Store-524,Mumbai,TG
525,Store-525,Pune,TG
526,Store-526,Kolkata,MH
527,Store-527,Pune,MH
528,Store-528,Bangalore,KA
529,Store-529,Mumbai,TG
530,Store-530,Delhi,DL
531,Store-531,Pune,TN
532,Store-532,Bangalore,TG
533,Store-533,Bangalore,MH
534,Store-534,Mumbai,DL
535,Store-535,Delhi,TN
536,Store-536,Delhi,MH
537,Store-537,Hyderabad,MH
538,Store-538,Mumbai,WB
539,Store-539,Kolkata,DL
540,Store-540,Delhi,MH
541,Store-541,Delhi,TG
542,Store-542,Pune,TN
543,Store-543,Mumbai,WB
544,Store-544,Delhi,WB
545,Store-545,Pune,WB
546,Store-546,Bangalore,MH
547,Store-547,Mumbai,TG
548,Store-548,Hyderabad,TG
549,Store-549,Mumbai,MH
550,Store-550,Delhi,TG
551,Store-551,Mumbai,KA
552,Store-552,Bangalore,MH
553,Store-553,Mumbai,TN
554,Store-554,Hyderabad,KA
555,Store-555,Bangalore,WB
556,Store-556,Chennai,MH
557,Store-557,Kolkata,DL
558,Store-558,Delhi,DL
559,Store-559,Chennai,WB
560,Store-560,Delhi,TG
561,Store-561,Delhi,DL
562,Store-562,Pune,WB
563,Store-563,Bangalore,TN
564,Store-564,Pune,TG
565,Store-565,Hyderabad,DL
566,Store-566,Kolkata,KA
567,Store-567,Bangalore,TG
568,Store-568,Mumbai,DL
569,Store-569,Kolkata,MH
570,Store-570,Pune,DL
571,Store-571,Kolkata,WB
572,Store-572,Delhi,WB
573,Store-573,Chennai,DL
574,Store-574,Delhi,DL
575,Store-575,Kolkata,TN
576,Store-576,Delhi,WB
577,Store-577,Bangalore,TG
578,Store-578,Mumbai,MH
579,Store-579,Pune,MH
580,Store-580,Kolkata,MH
581,Store-581,Mumbai,TN
582,Store-582,Bangalore,WB
583,Store-583,Pune,KA
